,tweet,sentiment
0,sxswnui defining language touch different dialects becoming smaller,1
1,learning ab doodles doodles light funny amp innovative exceptions significant occasions googledoodle,1
2,one inyourface ex stealing show yrs quotat schools mkt expertsquot,2
3,app would b pretty awesome didnt crash every 10mins extended browsing fuckit illmakeitwork,0
4,line outside austin waiting,1
5,technews one lone dude awaits 2 appleûªs tech_news ipad_2 tablets tech,1
6,tips prince npr videos toy shopping zuckerberg,1
7,nu user ubersocial app includes uberguide sponsored mashable,1
8,free sampler itunes freemusic,2
9,think might go weekend without seeing case twice,2
10,official app ûsxsw goûª bitlyhmiiga android,3
11,official im buying elevate,2
12,theyre giving away 2s x boxes books techenvy,2
13,officially come grill us w zazzlsxsw youûªll get make case,1
14,companies watch trade show floor apps features hardware,1
15,marissa mayer future location augmented reality contextual discovery make smartphones smarter,1
16,dl calyp app get calyp casa free mobile app available itunes app amp android market see u,1
17,well yeah music gt nerds god cute girls everywherei love interactive ends music begins,2
18,opens pop via ipad2 technology itunes,1
19,atleast im doubleloser,1
20,cue choir music,1
21,anyone want 2 im line pick one someone willing pay 50 grab 1,1
22,_¼ûä___ü ___ ______µ gtgt launch major social network called circles possibly today,2
23,ps throw btchin party shout spazmatics,2
24,3g 3 hrs tweeting rise_austin dead need upgrade plugin stations,0
25,anyone know talk circles,1
26,ûïmention set launch social network circles today sxswû,1
27,launch major social network called circles possibly today,1
28,standing long line surrounded unemployed techies brooklyn 5th ave waiting,3
29,wow something ventured kick ass film blekko details good choice startups vc movie awesome,1
30,djs need one 3am tuesday douche bags need apply,1
31,packed many devices alarm set 515am see yall psyched meet finally many guys,2
32,check offers cool,2
33,looks interesting rtmention launch major social network called circles possibly today,2
34,went whole day wout laptop amp used 1 things missed ftp cloudapp fast typing amp skype,0
35,find stupid stupid game currently special sale,1
36,overheard quotgoogle doesnt launch products peoples eventsquot,1
37,mayer people drive 12bn miles year using maps navigation whither sat nav,1
38,launches geosocial offers deferomobile,1
39,giving away shiny 2 quotables simply sign entered automatically gtgt ipad2,1
40,heard downtown location sold 1m merchandise last night ipad2,1
41,bummed miss year quarantined kiddie cold garageband comfort fb,2
